abandon	từ bỏ
able	có năng lực
about 	khoảng, về
above 	ở trên
act	hành động
add	    thêm
addition	tính cộng
additional	thêm vào
address	địa chỉ
adjust	sửa lại cho đúng
admire	khâm phục
admit	nhận vào
adopt	bố mẹ nuôi
adult	người lớn
advance	sự tiến bộ
advanced	tiên tiến
advantage	sự thuận lợi
after	đằng sau
again	lại, nữa, lần nữa
age	tuổi
ago	trước đây
agree	đồng ý
air	không khí
all	tất cả
allow	cho phép
always	luôn luôn
and	và
anger	sự tức giận
animal	động vật
answer	sự trả lời
appear	xuất hiện
apple	quả táo
area	diện tích, bề mặt
arrange	sắp xếp
arrive	đến
art	nghệ thuật
atmosphere	khí quyển
atom	nguyên tử
attach	gắn, dán, trói, buộc
attached	gắn bó
attack	sự tấn công
baby	đứa trẻ mới sinh
back	lưng, về phía sau, trờ lại
background	nền
backward	về phía sau
bad	xấu
badly	tồi
bag	bao, túi, cặp sách
ball	quả bóng
band	băng
bank	bờ, đê
barrier	đặt chướng ngại vật
basic	cơ bản
be	thì, là
beach	bãi biển
bear	mang, vác, cầm
beat	tiếng đập
beauty	cái đẹp
bed	cái giường
beef	thịt bò
been	thì, là
beer	bia
before	trước
begin	bắt đầu, khởi hành
behalf	sự thay mặt
behave	đối xử, ăn ở
behind	dằng sau
belief	lòng tin, đức tin
believe	tin tưởng
bell	cái chuông
belong	thuộc về, của
below	ở dưới, phía dưới
belt	dây lưng
best	tốt nhất
better	tốt hơn
between	giữa
big	to, lớn
bird	con chim
bit	miếng, mảnh
black	màu đen
block	khối, tảng
blood	máu, huyết
blow	nở hoa
blue	màu xanh
board	tấm ván, lướt ván
boat	tàu, thuyền
body	thân thể
bone	xương
book	sách
both	cả hai
bottom	phần dưới cùng
bought	mua
box	hộp, thùng
boy	con trai
branch	nhành cây
bread	bánh mỳ
break	bẻ gãy, đập vỡ
bright	sáng chói
bring	mang, cầm
broad	rộng
brother	anh, em trai
build	xây dựng
busy	bận rộn
but	nhưng
cabinet	tủ có nhiều ngăn đồ
cable	dây cáp
cake	bánh ngọt
calculate	tính toán
call	gọi
calm	yên lặng, làm dịu đi
calmly	yên lặng, yên ả
camera	máy ảnh
camp	cắm trại
camping	sự cắm trại
can	có thể
cancel	hủy bỏ, xóa bỏ
cancer	bệnh ung thư
candy	kẹo
capital	thủ đô
captain	người cầm đầu
car	xe hơi
care	quan tâm
career	nghề nghiệp
carefully	cẩn thận, chu đáo
carry	mang, vác
case	vỏ, ngăn, túi
cast	quăng, ném, thả
cat	con mèo
catch	bắt lấy
caught	sự nắm lấy
cause	nguyên nhân
cell	ô, ngăn
cent	đồng xu
century	thế kỉ
certain	chắc chắn
chair	cái ghế
chance	sự may mắn
change	thay đổi
charge	nhiệm vụ, bổn phận
chart	đồ thị
check	kiểm tra
chick	chim con, gà con
child	đứa trẻ
choose	lựa chọn
chord	dây
city	thành phố
class	lớp
clean	sạch
clear	lau chùi
climb	leo,trèo
clock	đồng hồ
close	đóng kín
clothe	mặc quần áo
cloud	đám mây
cold	lạnh
color	màu sắc
common	công cộng
company	công ty
compare	so sánh
complete	hoàn thành
connect	kết nối
consider	cân nhắc, xem xét
contain	bao hàm
control	điều khiển
copy	bản sao
count	đếm, tính
create	sáng tạo
crop	vụ mùa
cut	cắt, chặt
dad	bố, cha
dance	nhảy múa
danger	sự nguy hiểm
dark	tối tăm, bóng tối
data	số liệu, dữ liệu
date	ngày, kỳ hạn
daughter	con gái
day	ngày
dead	chết
deaf	điếc, làm ngơ
deal with	giải quyết
dear	thân yêu
death	sự chết
decay	tình trạng suy tàn
december	tháng mười hai
decide	quyết định
decline	sự suy tàn
degree	mức độ
describe	diễn tả
desert	sa mạc
design	thiết kế
develop	phát triển
dictionary	từ điển
die	chết, hi sinh
differ	khác, không giống
discuss	thảo luận
doctor	bác sĩ
dog	con chó
door	cửa
double	đôi, hai
down	xuống
duck	con vịt
during	trong lúc
each	mỗi
ear	tai
early	sớm
earn	kiếm
earth	trái đất
ease	sự thoải mái
easily	dễ dàng
east	hướng đông
easy	dễ dàng
eat	ăn
edition	nhà xuất bản
effect	hiệu quả
egg	trứng
eight	trứng
electric	điện
energy	năng lượng
